बाजार समिती,जात/प्रत,परिमाण,आवक,कमीत कमी दर,जास्तीत जास्त दर,सर्वसाधारण दर
पिंपळगाव(ब) - सायखेडा,उन्हाळी,क्विंटल,4677,600,1352,1100
साक्री,उन्हाळी,क्विंटल,13002,500,1325,1000
भुसावळ,उन्हाळी,क्विंटल,14,800,1200,1000
नांदगाव,उन्हाळी,क्विंटल,8462,100,1501,950
दिंडोरी,उन्हाळी,क्विंटल,362,901,1501,1201
दिंडोरी-वणी,उन्हाळी,क्विंटल,4588,901,1501,1201
गंगापूर,उन्हाळी,क्विंटल,8190,100,1505,1190
वैजापूर,उन्हाळी,क्विंटल,9180,200,1320,1150
रामटेक,उन्हाळी,क्विंटल,13,1300,1500,1400
देवळा,उन्हाळी,क्विंटल,9049,200,1400,1125
राहता,उन्हाळी,क्विंटल,7445,500,1700,1200
उमराणे,उन्हाळी,क्विंटल,12500,500,1500,1250
नामपूर,उन्हाळी,क्विंटल,8678,175,1420,1200
नामपूर- करंजाड,उन्हाळी,क्विंटल,11418,200,1525,1300
08/09/2025,,,,,,
कोल्हापूर,---,क्विंटल,5296,500,1800,1000
अकोला,---,क्विंटल,330,600,1600,1200
छत्रपती संभाजीनगर,---,क्विंटल,1697,300,1200,750
चंद्रपूर - गंजवड,---,क्विंटल,260,1800,3000,2200
मुंबई - कांदा बटाटा मार्केट,---,क्विंटल,17327,1000,1600,1300
मंचर- वणी,---,क्विंटल,1234,1100,1600,1400
लासूर स्टेशन,---,क्विंटल,13500,100,1425,900
विटा,---,क्विंटल,50,1000,1800,1750
सातारा,---,क्विंटल,126,1000,2000,1500
जुन्नर - नारायणगाव,चिंचवड,क्विंटल,38,300,1600,1200
कराड,हालवा,क्विंटल,150,300,1700,1700
सोलापूर,लाल,क्विंटल,19801,100,2300,1100
धुळे,लाल,क्विंटल,865,400,1150,1100
जळगाव,लाल,क्विंटल,827,400,1277,837
नागपूर,लाल,क्विंटल,2000,1000,1600,1450
लोणंद,लाल,क्विंटल,175,500,1300,850
कुर्डवाडी-मोडनिंब,लाल,क्विंटल,14,250,1000,700
हिंगणा,लाल,क्विंटल,34,1000,2000,1628
अमरावती- फळ आणि भाजीपाला,लोकल,क्विंटल,250,800,3000,1900
सांगली -फळे भाजीपाला,लोकल,क्विंटल,2867,500,1700,1100
पुणे,लोकल,क्विंटल,12830,500,1700,1100
पुणे- खडकी,लोकल,क्विंटल,10,1000,1200,1100
पुणे -पिंपरी,लोकल,क्विंटल,11,1000,1600,1300
पुणे-मांजरी,लोकल,क्विंटल,97,800,1200,1000
पुणे-मोशी,लोकल,क्विंटल,1038,500,1500,1000
चाळीसगाव-नागदरोड,लोकल,क्विंटल,1050,700,1150,1020
कर्जत (अहमहदनगर),लोकल,क्विंटल,184,200,1400,800
मंगळवेढा,लोकल,क्विंटल,252,200,1500,1300
कामठी,लोकल,क्विंटल,12,1530,2030,1780
शेवगाव,नं. १,क्विंटल,965,1300,1600,1450
कल्याण,नं. १,क्विंटल,3,1400,1500,1450
शेवगाव,नं. २,क्विंटल,916,700,1200,1050
कल्याण,नं. २,क्विंटल,3,1200,1300,1250
शेवगाव,नं. ३,क्विंटल,1460,200,600,450
नागपूर,पांढरा,क्विंटल,1360,1200,2000,1800
अहिल्यानगर,उन्हाळी,क्विंटल,48994,200,1600,1000
येवला,उन्हाळी,क्विंटल,9961,200,1381,950
येवला -आंदरसूल,उन्हाळी,क्विंटल,4980,300,1302,1000
नाशिक,उन्हाळी,क्विंटल,4145,300,1350,800
लासलगाव,उन्हाळी,क्विंटल,15472,500,1652,1275
लासलगाव - निफाड,उन्हाळी,क्विंटल,6225,500,1400,1250
लासलगाव - विंचूर,उन्हाळी,क्विंटल,10695,500,1601,1270
मालेगाव-मुंगसे,उन्हाळी,क्विंटल,13534,200,1450,825
सिन्नर,उन्हाळी,क्विंटल,1779,100,1315,1100
सिन्नर- नांदूर शिंगोटे,उन्हाळी,क्विंटल,4930,250,1600,1250
सिन्नर - नायगाव,उन्हाळी,क्विंटल,723,200,1320,1175
राहूरी -वांबोरी,उन्हाळी,क्विंटल,9736,100,1700,1100
कळवण,उन्हाळी,क्विंटल,20650,400,1700,1100
पैठण,उन्हाळी,क्विंटल,1022,125,1280,1000
संगमनेर,उन्हाळी,क्विंटल,6324,151,1711,931
चांदवड,उन्हाळी,क्विंटल,6899,400,1641,1230
लोणंद,उन्हाळी,क्विंटल,325,550,1600,1100
सटाणा,उन्हाळी,क्विंटल,12375,260,2275,1450
कोपरगाव,उन्हाळी,क्विंटल,4608,500,1470,1150
नेवासा -घोडेगाव,उन्हाळी,क्विंटल,43515,300,1500,1000
श्रीरामपूर,उन्हाळी,क्विंटल,13222,550,1700,1350
पिंपळगाव बसवंत,उन्हाळी,क्विंटल,17203,500,1900,1350
पिंपळगाव(ब) - सायखेडा,उन्हाळी,क्विंटल,4182,700,1300,1130
साक्री,उन्हाळी,क्विंटल,11830,600,1370,1050
नांदगाव,उन्हाळी,क्विंटल,8803,100,1500,1050
दिंडोरी,उन्हाळी,क्विंटल,248,951,1593,1281
दिंडोरी-वणी,उन्हाळी,क्विंटल,5236,951,1593,1281
गंगापूर,उन्हाळी,क्विंटल,7180,235,1400,1200
वैजापूर,उन्हाळी,क्विंटल,9948,300,1385,1150
देवळा,उन्हाळी,क्विंटल,10058,200,1465,1200
उमराणे,उन्हाळी,क्विंटल,18600,600,1500,1200
नामपूर,उन्हाळी,क्विंटल,9977,175,1550,1200
नामपूर- करंजाड,उन्हाळी,क्विंटल,9505,200,1605,1250
07/09/2025,,,,,,
अकलुज,---,क्विंटल,275,200,1400,950
छत्रपती संभाजीनगर,---,क्विंटल,3754,300,1300,800
मंचर,---,क्विंटल,7219,1300,1650,1500
दौंड-केडगाव,---,क्विंटल,2915,200,1900,1300
शिरुर-कांदा मार्केट,---,क्विंटल,1590,300,1800,1350
सातारा,---,क्विंटल,365,1000,2000,1500
जुन्नर,चिंचवड,क्विंटल,4614,400,1700,1550
जुन्नर - नारायणगाव,चिंचवड,क्विंटल,46,300,1600,1000
धाराशिव,लाल,क्विंटल,80,1100,1800,1450
नागपूर,लाल,क्विंटल,1240,1000,1500,1375
पाथर्डी,लाल,क्विंटल,1151,150,1600,1000
अमरावती- फळ आणि भाजीपाला,लोकल,क्विंटल,270,1000,3000,2000
पुणे -पिंपरी,लोकल,क्विंटल,30,1000,1400,1200
कर्जत (अहमहदनगर),लोकल,क्विंटल,336,200,1300,700
मंगळवेढा,लोकल,क्विंटल,7,200,1000,800
कामठी,लोकल,क्विंटल,15,1520,2020,1770
कल्याण,नं. १,क्विंटल,3,1400,1500,1450
कल्याण,नं. २,क्विंटल,3,1200,1300,1250
नागपूर,पांढरा,क्विंटल,1000,1600,2000,1900
अकोले,उन्हाळी,क्विंटल,1012,100,1600,1300
जुन्नर -ओतूर,उन्हाळी,क्विंटल,8936,1100,1700,1500
पैठण,उन्हाळी,क्विंटल,3696,200,1550,1200
कोपरगाव,उन्हाळी,क्विंटल,4784,500,1275,1100
पारनेर,उन्हाळी,क्विंटल,6525,300,2100,1375
भुसावळ,उन्हाळी,क्विंटल,28,800,1200,1000
वैजापूर- शिऊर,उन्हाळी,क्विंटल,1229,200,1300,1050
रामटेक,उन्हाळी,क्विंटल,36,1200,1500,1300
राहता,उन्हाळी,क्विंटल,6234,400,1850,1300
06/09/2025,,,,,,
कोल्हापूर,---,क्विंटल,2554,500,1800,1000
छत्रपती संभाजीनगर,---,क्विंटल,1890,100,1200,650
चंद्रपूर - गंजवड,---,क्विंटल,320,1800,2800,2400
मंचर- वणी,---,क्विंटल,1204,1200,1600,1450
विटा,---,क्विंटल,40,1000,1700,1500
सातारा,---,क्विंटल,124,1000,2000,1500
धाराशिव,लाल,क्विंटल,44,1100,1600,1350
नागपूर,लाल,क्विंटल,1000,1000,1600,1450
वडूज,लाल,क्विंटल,60,1000,2000,1500
हिंगणा,लाल,क्विंटल,2,2000,2000,2000
अमरावती- फळ आणि भाजीपाला,लोकल,क्विंटल,289,1000,2800,1900
सांगली -फळे भाजीपाला,लोकल,क्विंटल,3381,500,1800,1150
पुणे -पिंपरी,लोकल,क्विंटल,14,1000,2000,1500
पुणे-मांजरी,लोकल,क्विंटल,119,800,1400,1100
पुणे-मोशी,लोकल,क्विंटल,732,400,1600,1000
वडगाव पेठ,लोकल,क्विंटल,310,1200,2500,2000
वाई,लोकल,क्विंटल,15,1000,2000,1600
मंगळवेढा,लोकल,क्विंटल,28,400,1450,1300
शेवगाव,नं. १,क्विंटल,2230,1300,1600,1450
कल्याण,नं. १,क्विंटल,3,1400,1500,1450
शेवगाव,नं. २,क्विंटल,1830,800,1200,1050
कल्याण,नं. २,क्विंटल,3,1100,1300,1200
शेवगाव,नं. ३,क्विंटल,799,200,700,450
नागपूर,पांढरा,क्विंटल,680,1500,2000,1875
अहिल्यानगर,उन्हाळी,क्विंटल,39612,200,1600,950
येवला -आंदरसूल,उन्हाळी,क्विंटल,1998,300,1290,1050
लासलगाव,उन्हाळी,क्विंटल,10748,600,1690,1280
लासलगाव - विंचूर,उन्हाळी,क्विंटल,3472,500,1550,1270
राहूरी -वांबोरी,उन्हाळी,क्विंटल,6810,100,1700,1100
कोपरगाव,उन्हाळी,क्विंटल,2160,500,1301,1125
नेवासा -घोडेगाव,उन्हाळी,क्विंटल,45310,400,1600,1000
वैजापूर,उन्हाळी,क्विंटल,4647,200,1400,1150
रामटेक,उन्हाळी,क्विंटल,13,1300,1500,1400
05/09/2025,,,,,,
अकलुज,---,क्विंटल,268,200,1500,900
कोल्हापूर,---,क्विंटल,3703,500,1800,1000
राहूरी,---,क्विंटल,31566,100,1900,1000
खेड-चाकण,---,क्विंटल,400,1200,1700,1500
मंचर,---,क्विंटल,7894,1300,1650,1500
दौंड-केडगाव,---,क्विंटल,3553,200,1800,1300
शिरुर-कांदा मार्केट,---,क्विंटल,1256,300,1800,1350
जुन्नर -आळेफाटा,चिंचवड,क्विंटल,8053,1000,1700,1460
धाराशिव,लाल,नग,31,1300,1600,1450
पाथर्डी,लाल,क्विंटल,75,200,1300,800
हिंगणा,लाल,क्विंटल,1,2000,2000,2000
अमरावती- फळ आणि भाजीपाला,लोकल,क्विंटल,259,1000,3000,2000
सांगली -फळे भाजीपाला,लोकल,क्विंटल,2415,500,1700,1100
पुणे,लोकल,क्विंटल,9263,500,1700,1100
पुणे- खडकी,लोकल,क्विंटल,7,800,1500,1150
पुणे -पिंपरी,लोकल,क्विंटल,20,800,1800,1300
पुणे-मांजरी,लोकल,क्विंटल,97,800,1200,1000
पुणे-मोशी,लोकल,क्विंटल,528,500,1500,1000
कर्जत (अहमहदनगर),लोकल,क्विंटल,67,300,1400,800
वाई,लोकल,क्विंटल,20,1200,2000,1500
मंगळवेढा,लोकल,क्विंटल,196,100,1500,1300
कामठी,लोकल,क्विंटल,16,1510,2010,1760
नाशिक,उन्हाळी,क्विंटल,2875,250,1351,800
लासलगाव - निफाड,उन्हाळी,क्विंटल,6780,500,1400,1280
लासलगाव - विंचूर,उन्हाळी,क्विंटल,9083,500,1550,1300
सिन्नर- नांदूर शिंगोटे,उन्हाळी,क्विंटल,4150,250,1611,1250
सिन्नर - नायगाव,उन्हाळी,क्विंटल,499,200,1313,1175
पैठण,उन्हाळी,क्विंटल,3892,150,1600,1200
संगमनेर,उन्हाळी,क्विंटल,6108,200,1701,950
मनमाड,उन्हाळी,क्विंटल,1600,300,1500,1300
कोपरगाव,उन्हाळी,क्विंटल,2896,500,1182,1085
पिंपळगाव बसवंत,उन्हाळी,क्विंटल,14076,400,1900,1250
पिंपळगाव(ब) - सायखेडा,उन्हाळी,क्विंटल,3020,600,1526,1050
पारनेर,उन्हाळी,क्विंटल,5538,300,2200,1350
भुसावळ,उन्हाळी,क्विंटल,11,800,1200,1000
राहता,उन्हाळी,क्विंटल,7865,300,1700,1225
नामपूर,उन्हाळी,क्विंटल,9000,200,1400,1200
नामपूर- करंजाड,उन्हाळी,क्विंटल,11000,200,1360,1100
04/09/2025,,,,,,
कोल्हापूर,---,क्विंटल,2950,500,1800,1000
अकोला,---,क्विंटल,184,600,1500,1200
छत्रपती संभाजीनगर,---,क्विंटल,4968,150,1300,725
चंद्रपूर - गंजवड,---,क्विंटल,190,1800,2800,2200
मुंबई - कांदा बटाटा मार्केट,---,क्विंटल,14055,1000,1600,1300
खेड-चाकण,---,क्विंटल,400,1000,1700,1400
लासूर स्टेशन,---,क्विंटल,11850,100,1460,975
विटा,---,क्विंटल,40,1000,1800,1550
सातारा,---,क्विंटल,124,1000,2000,1500
जुन्नर - नारायणगाव,चिंचवड,क्विंटल,18,300,1400,850
सोलापूर,लाल,क्विंटल,17888,100,2300,1100
धुळे,लाल,क्विंटल,858,500,1400,1220
जळगाव,लाल,क्विंटल,456,350,1250,800
धाराशिव,लाल,क्विंटल,33,1300,1700,1500
जुन्नर -ओतूर,लाल,क्विंटल,11314,1000,1600,1200
नागपूर,लाल,क्विंटल,1660,1000,1600,1450
लोणंद,लाल,क्विंटल,150,700,1400,1100
कुर्डवाडी-मोडनिंब,लाल,क्विंटल,40,500,1200,700
हिंगणा,लाल,क्विंटल,2,2000,2000,2000
सांगली -फळे भाजीपाला,लोकल,क्विंटल,1733,500,1800,1150
पुणे,लोकल,क्विंटल,7305,500,1700,1100
पुणे- खडकी,लोकल,क्विंटल,11,800,1500,1150
पुणे -पिंपरी,लोकल,क्विंटल,20,800,1400,1100
पुणे-मांजरी,लोकल,क्विंटल,111,500,1400,1000
पुणे-मोशी,लोकल,क्विंटल,919,700,1600,1150
चाळीसगाव-नागदरोड,लोकल,क्विंटल,1040,700,1230,1050
मलकापूर,लोकल,क्विंटल,214,460,1160,840
जामखेड,लोकल,क्विंटल,195,150,1500,825
वडगाव पेठ,लोकल,क्विंटल,260,1200,1800,1700
कर्जत (अहमहदनगर),लोकल,क्विंटल,276,300,1400,900
वाई,लोकल,क्विंटल,20,1000,2000,1700
मंगळवेढा,लोकल,क्विंटल,37,300,1400,1375
शेवगाव,नं. १,क्विंटल,2506,1400,1800,1550
कल्याण,नं. १,क्विंटल,3,1400,1500,1450
शेवगाव,नं. २,क्विंटल,1520,800,1300,1050
कल्याण,नं. २,क्विंटल,3,1100,1300,1200
शेवगाव,नं. ३,क्विंटल,1700,200,700,450
नागपूर,पांढरा,क्विंटल,1000,1400,2000,1850
येवला,उन्हाळी,क्विंटल,5000,250,1437,1050
येवला -आंदरसूल,उन्हाळी,क्विंटल,500,280,1051,970
नाशिक,उन्हाळी,क्विंटल,3268,300,1400,850
लासलगाव,उन्हाळी,क्विंटल,16026,651,1762,1325
लासलगाव - निफाड,उन्हाळी,क्विंटल,6780,500,1400,1280
लासलगाव - विंचूर,उन्हाळी,क्विंटल,11144,500,1690,1300
मालेगाव-मुंगसे,उन्हाळी,क्विंटल,13000,200,1370,1050
अकोले,उन्हाळी,क्विंटल,675,125,1611,868
सिन्नर,उन्हाळी,क्विंटल,1829,100,1281,1100
सिन्नर - नायगाव,उन्हाळी,क्विंटल,632,200,1350,1200
राहूरी -वांबोरी,उन्हाळी,क्विंटल,7941,100,1700,1100
कळवण,उन्हाळी,क्विंटल,23050,300,1775,1151
पैठण,उन्हाळी,क्विंटल,648,100,1195,1000
संगमनेर,उन्हाळी,क्विंटल,4720,200,1811,1005
चांदवड,उन्हाळी,क्विंटल,11135,470,1540,1300
मनमाड,उन्हाळी,क्विंटल,4633,200,1482,1250
लोणंद,उन्हाळी,क्विंटल,550,600,1475,1100
सटाणा,उन्हाळी,क्विंटल,13850,150,1575,1150
कोपरगाव,उन्हाळी,क्विंटल,6880,400,1551,1150
कोपरगाव,उन्हाळी,क्विंटल,5280,500,1261,1100
पिंपळगाव बसवंत,उन्हाळी,क्विंटल,19242,500,2015,1300
पिंपळगाव(ब) - सायखेडा,उन्हाळी,क्विंटल,2625,600,1300,1075
साक्री,उन्हाळी,क्विंटल,12720,600,1350,1050
भुसावळ,उन्हाळी,क्विंटल,11,800,1200,1000
दिंडोरी,उन्हाळी,क्विंटल,408,951,1647,1301
दिंडोरी-वणी,उन्हाळी,क्विंटल,6000,951,1647,1301
गंगापूर,उन्हाळी,क्विंटल,7800,100,1485,1240
वैजापूर,उन्हाळी,क्विंटल,9312,200,1418,1150
रामटेक,उन्हाळी,क्विंटल,33,1300,1500,1400
देवळा,उन्हाळी,क्विंटल,8885,170,1450,1200
नामपूर,उन्हाळी,क्विंटल,7484,200,1445,1200
नामपूर- करंजाड,उन्हाळी,क्विंटल,9434,300,1430,1100
